App Name,Description,Price,Google Play URL,App developer,Google Play developer URL,Relevance,Rating,Number of ratings,Category,Country,Last updated,Installs
MTN: MOBILE TELEVISION NETWORK,,Free,https://play.google.com/store/apps/details?id=com.app.mobiletelevisionnetwork,"The MTN Company, LLC","https://play.google.com/store/apps/developer?id=The+MTN+Company,+LLC",non-MTN,4.6,16,Entertainment,Global,05-Mar-17,"1,000-5,000"
MyMTN Syria,,,https://play.google.com/store/apps/details?id=com.apps2you.mymtn,MTN Syria,https://play.google.com/store/apps/dev?id=7365630497726336873,,,,,,,
Airtime Balance M South Africa,,,https://play.google.com/store/apps/details?id=com.aroute.atbmtnsa,Aroute,https://play.google.com/store/apps/dev?id=8236388474413823165,,,,,,,
EasyMTN,,,https://play.google.com/store/apps/details?id=com.automation29.forwa.easymtn,Peirazo,https://play.google.com/store/apps/developer?id=Peirazo,,,,,,,
MTN HUB,,,https://play.google.com/store/apps/details?id=com.avatech.mountainhub.prod,Mountain Hub,https://play.google.com/store/apps/developer?id=Mountain+Hub,,,,,,,
RwandaAirtime.com,,,https://play.google.com/store/apps/details?id=com.avmm.rwa,"Airtime, Vouchers & Much More","https://play.google.com/store/apps/developer?id=Airtime,+Vouchers+%26+Much+More",,,,,,,
ShopSavvy Barcode & QR Scanner,,,https://play.google.com/store/apps/details?id=com.biggu.shopsavvy,"ShopSavvy, Inc.","https://play.google.com/store/apps/developer?id=ShopSavvy,+Inc.",,,,,,,
PatriiD MTN,,,https://play.google.com/store/apps/details?id=com.biid.PATRIID_MTN,Nilson Carvalho de Araujo Junior,https://play.google.com/store/apps/developer?id=Nilson+Carvalho+de+Araujo+Junior,,,,,,,
MTN EASY SME(CUSTOMER),,,https://play.google.com/store/apps/details?id=com.bosolutions.mtneasysmecustomer,BOSOLUTIONS,https://play.google.com/store/apps/developer?id=BOSOLUTIONS,,,,,,,
MTN EASY SME(SELLERS),,,https://play.google.com/store/apps/details?id=com.bosolutions.mtneasysmesellers,BOSOLUTIONS,https://play.google.com/store/apps/developer?id=BOSOLUTIONS,,,,,,,
Africa View,,,https://play.google.com/store/apps/details?id=com.cnnafricaview,CNN,https://play.google.com/store/apps/developer?id=CNN,,,,,,,
MTN Insurance Agencies,,,https://play.google.com/store/apps/details?id=com.conduit.app_04e7bd981be84a5f83e74892a611d2da.app,Fanisi Online Limited,https://play.google.com/store/apps/developer?id=Fanisi+Online+Limited,,,,,,,
MTN App Of The Year,,,https://play.google.com/store/apps/details?id=com.conduit.app_f04200eaa87646ca9d0e260fa7683dfb.app,App Your Event,https://play.google.com/store/apps/developer?id=App+Your+Event,,,,,,,
Sahlh GO,,,https://play.google.com/store/apps/details?id=com.cybosol.cma_etransaction,E-Transactions,https://play.google.com/store/apps/developer?id=E-Transactions,,,,,,,
,,,https://play.google.com/store/apps/details?id=com.dp.unitwindow,Dadehpardaz,https://play.google.com/store/apps/developer?id=Dadehpardaz,,,,,,,
Slydepay,,,https://play.google.com/store/apps/details?id=com.dreamoval.slydepay.android.cruise,DreamOval Ltd,https://play.google.com/store/apps/developer?id=DreamOval+Ltd,,,,,,,
EasyPay Mobile Wallet,,,https://play.google.com/store/apps/details?id=com.easypay.ug,Payline Holdings,https://play.google.com/store/apps/developer?id=Payline+Holdings,,,,,,,
Cheap Data Nigeria,,,https://play.google.com/store/apps/details?id=com.emagine8.cheapdata,iRespekt Konceptz,https://play.google.com/store/apps/developer?id=iRespekt+Konceptz,,,,,,,
JustTopUp,,,https://play.google.com/store/apps/details?id=com.etz.lite,Your Mobile App,https://play.google.com/store/apps/developer?id=Your+Mobile+App,,,,,,,
EU Mobile Money,,,https://play.google.com/store/apps/details?id=com.eusa.english.home,EXPRESS UNION,https://play.google.com/store/apps/developer?id=EXPRESS+UNION,,,,,,,
expressPay,,,https://play.google.com/store/apps/details?id=com.expresspay,expressPay Ghana Limited,https://play.google.com/store/apps/developer?id=expressPay+Ghana+Limited,,,,,,,
Ding TopUp: Mobile Recharge,,,https://play.google.com/store/apps/details?id=com.ezetop.world,Ding ezetop,https://play.google.com/store/apps/developer?id=Ding+ezetop,,,,,,,
SawaPay - Money to East Africa,,,https://play.google.com/store/apps/details?id=com.firstchoicegl.sawa,First Choice Global Limited,https://play.google.com/store/apps/developer?id=First+Choice+Global+Limited,,,,,,,
FLASH Trader,,,https://play.google.com/store/apps/details?id=com.flash.flashtrader,Flash,https://play.google.com/store/apps/developer?id=Flash,,,,,,,
ARGENTCASH MAKE MONEY ONLINE,,,https://play.google.com/store/apps/details?id=com.gagnerargent.makemoney,LUXE CONSULTING,https://play.google.com/store/apps/developer?id=LUXE+CONSULTING,,,,,,,
Globe USSD MTN CI,,,https://play.google.com/store/apps/details?id=com.globeservices.android.globeussdcimtn,DOMAGALA OLIVIER,https://play.google.com/store/apps/developer?id=DOMAGALA+OLIVIER,,,,,,,
Mobile Money MTN CI,,,https://play.google.com/store/apps/details?id=com.globeservices.android.mobilemoneycimtn,DOMAGALA OLIVIER,https://play.google.com/store/apps/developer?id=DOMAGALA+OLIVIER,,,,,,,
